Year,Average Percentage Change,,Year 2,Average Percentage Change Inflation,Inflation,
1978,0,,1978,0,6.84,0
1979,-0.9980827788,,1979,35.67251462,9.28,35.67251462
1980,10.06436179,,1980,49.89224138,13.91,49.89224138
1981,-14.86234734,,1981,-14.95327103,11.83,-14.95327103
1982,8.445781668,,1982,-29.07861369,8.39,-29.07861369
1983,13.62833842,,1983,-55.7806913,3.71,-55.7806913
1984,-3.741429487,,1984,12.93800539,4.19,12.93800539
1985,21.40715878,,1985,-15.75178998,3.53,-15.75178998
1986,18.62020935,,1986,10.19830028,3.89,10.19830028
1987,-7.17348373,,1987,-62.46786632,1.46,-62.46786632
1988,9.874460949,,1988,177.3972603,4.05,177.3972603
1989,20.47726202,,1989,15.30864198,4.67,15.30864198
1990,-11.12124634,,1990,11.3490364,5.2,11.3490364
1991,14.6648204,,1991,8.653846154,5.65,8.653846154
1992,8.970406467,,1992,-53.98230088,2.6,-53.98230088
1993,4.096426383,,1993,25.38461538,3.26,25.38461538
1994,-4.854527009,,1994,-22.6993865,2.52,-22.6993865
1995,31.6716469,,1995,11.11111111,2.8,11.11111111
1996,17.04939666,,1996,-2.5,2.73,-2.5
1997,27.31356924,,1997,11.35531136,3.04,11.35531136
1998,21.69663223,,1998,-48.35526316,1.57,-48.35526316
1999,16.91390896,,1999,6.369426752,1.67,6.369426752
2000,-9.893768006,,2000,64.07185629,2.74,64.07185629
2001,-15.28990058,,2001,36.13138686,3.73,36.13138686
2002,-23.2874766,,2002,-69.43699732,1.14,-69.43699732
2003,17.96381147,,2003,128.0701754,2.6,128.0701754
2004,7.47281403,,2004,-25.76923077,1.93,-25.76923077
2005,1.765774464,,2005,53.88601036,2.97,53.88601036
2006,9.449624886,,2006,34.34343434,3.99,34.34343434
2007,0.3387356151,,2007,-47.86967419,2.08,-47.86967419
2008,-40.72872147,,2008,105.7692308,4.28,105.7692308
2009,23.17885875,,2009,-99.29906542,0.03,-99.29906542